ID;code;name;continent
46d3a752-bccd-4ae2-b8e8-013805daaa0c;MLT;Malta;Europe
a40e17c4-facc-47a1-b44f-416176d2c6d5;MHL;Marshall Islands;Oceania
6c018e9d-2ab0-4a75-8d80-96285c9bb1a3;MTQ;Martinique;North America
d1b5722e-387d-4fd5-9ca3-bee965ae9c9c;MRT;Mauritania;Africa
0b38179f-da0b-47a1-8f5c-5fba28bf65c7;MUS;Mauritius;Africa
abc1ecfc-f4ac-4b5f-af09-bfc3ded4dc6d;MYT;Mayotte;Africa
9089b3ed-5459-48da-b556-a2f2d82c830a;MEX;Mexico;North America
e976fb4d-7607-49a2-9496-3d6a818bb4aa;FSM;Micronesia;Oceania
467ad15b-386a-4341-949c-26d66bc193bf;MDA;Moldova;Europe
4ae0fbc5-027f-4ecb-b569-fdf5f4fafcc3;MCO;Monaco;Europe
c68de725-f535-4caf-9cf7-f4edf9a8cf45;MNG;Mongolia;Asia
a13c1695-7766-431f-92de-d1f78aad310f;MNE;Montenegro;Europe
b3485a7c-0e20-4086-859e-241c56dba35a;MSR;Montserrat;North America
892f7a57-72ed-458d-a59c-09c365aaaed0;MAR;Morocco;Africa
2aeb0c80-75d7-487b-88c5-fb6765a92cf9;MOZ;Mozambique;Africa
1089cdd4-b1c2-464b-9964-75b0acefc751;MMR;Myanmar;Asia
fb224d66-2b89-4c58-a789-1aa07a4f5559;NAM;Namibia;Africa
c08c2e4d-e474-462a-9213-adc6467ed36d;NRU;Nauru;Oceania
9a223049-3b57-4b95-967c-82a1d6e33f99;NPL;Nepal;Asia
ec1fb3e1-ad08-4bb6-960d-1b9b8b99ada8;NLD;Netherlands;Europe
445c2279-8751-4dcb-a3e3-07be592fabb1;NCL;New Caledonia;Oceania
ef00546a-a3fd-49e3-b3aa-cd5f2d852a74;NZL;New Zealand;Oceania
03fd42ec-243c-444d-89e3-334167054c4d;NIC;Nicaragua;North America
f8c64a27-9043-4114-8a53-919ae74e7e54;NER;Niger;Africa
d389985e-cffc-403a-bd5c-15e043ab2993;NGA;Nigeria;Africa
e0aabd55-6165-4e3a-8c42-78d4c7c4e1df;NIU;Niue;Oceania
8a923195-8a46-4300-9451-46accea75e24;PRK;North Korea;Asia
821a51e3-2b57-41fd-beac-3057a5e1c996;MKD;North Macedonia;Europe
a518b375-e144-4dab-a98c-20db77edd5a2;NFK;Northern Mariana Islands;Oceania
97bae6c6-de44-4dc6-89c5-303b4bed68b9;NOR;Norway;Europe
ab96ebdf-17b0-43cc-8e3d-fd4cb873b4e4;OMN;Oman;Asia
a608e53a-1af8-4923-aef4-9784c3e43167;PAK;Pakistan;Asia
8e8e34b4-2bc7-4528-ade3-ed9a617fd0c2;PLW;Palau;Oceania
acd26f0a-129b-404d-a5f3-cd780a351e0c;PSE;Palestine;Asia
0b42d0c4-54a8-47ee-865e-b3b60b5738dc;PAN;Panama;North America
49d98822-0d43-4502-96bf-6cfbdc790fa0;PNG;Papua New Guinea;Oceania
a5f79af0-9a17-40ac-9db2-0fb408d9e3c6;PRY;Paraguay;South America
70d81bc8-0cf5-4144-b6d0-5b3e733f97ee;PER;Peru;South America
0289182b-32e8-46ee-9e1a-1d008aba379a;PHL;Philippines;Asia
f6344389-2f18-4402-b161-551e1885ada7;POL;Poland;Europe
9bbce3fb-17c4-4dd8-9d0d-7de4aa258fbb;PRT;Portugal;Europe
2b39289b-fed7-414e-8170-cfb01fd134b2;PRI;Puerto Rico;North America
a5f8e0ca-7deb-4416-874b-8f32be268fca;QAT;Qatar;Asia
2d6c0e14-6c0e-4a14-a766-9e350d3285ad;COG;Republic of the Congo;Africa
61312368-8f78-43db-bdea-8241253e50e2;REU;Reunion;Africa
2f377ff1-f2a1-4ac4-a837-3979e6c7733c;ROU;Romania;Europe
0a650732-811f-416b-9e33-591a33ca29e8;RUS;Russia;Europe
2eab6af1-8016-424e-83d0-35b4867d5426;RWA;Rwanda;Africa
779bcae7-9bd8-4b40-a8ba-dc52824e03d3;BLM;Saint Barthelemy;North America
835b64e5-9c5e-41e0-847c-4b287a9ab3e3;KNA;Saint Kitts and Nevis;North America
